EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,OverTime,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,SalaryBand,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,PerformanceRating,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,DistanceFromHome,Attrition
EMP0017,19,Male,Married,Research & Development,Manufacturing Director,5,Human Resources,Travel_Rarely,No,8,5,0,1,6445,High,14,3,2,3,1,2,4,1,21,No
EMP0018,41,Male,Divorced,Research & Development,Research Scientist,2,Technical Degree,Non-Travel,No,1,0,1,0,3875,Medium,11,1,6,3,3,3,4,1,14,No
EMP0019,47,Male,Single,Sales,Sales Representative,4,Marketing,Travel_Rarely,No,7,0,6,2,6130,High,11,2,3,3,4,2,1,2,9,No
EMP0020,55,Female,Married,Research & Development,Research Director,5,Human Resources,Travel_Frequently,No,9,1,1,6,3378,Medium,24,2,5,3,3,1,1,1,17,No
EMP0021,19,Male,Married,Sales,Manager,1,Technical Degree,Travel_Rarely,Yes,10,0,7,4,4321,Medium,25,0,6,3,1,1,1,1,15,No
EMP0022,38,Male,Single,Research & Development,Healthcare Representative,4,Life Sciences,Travel_Rarely,Yes,11,6,4,6,5185,Medium,17,0,2,3,2,1,4,3,21,Yes
EMP0023,50,Female,Divorced,Sales,Sales Executive,5,Marketing,Travel_Rarely,No,4,1,4,8,3124,Medium,14,1,6,3,2,3,1,3,7,No
EMP0024,29,Male,Divorced,Research & Development,Laboratory Technician,1,Marketing,Travel_Rarely,Yes,3,0,0,5,1459,Low,11,1,4,3,1,1,2,1,27,No
EMP0025,39,Male,Single,Research & Development,Laboratory Technician,5,Other,Travel_Rarely,No,9,0,2,1,1651,Low,16,2,5,3,4,2,2,1,22,Yes
EMP0026,42,Male,Single,Sales,Sales Executive,2,Medical,Travel_Rarely,No,4,3,1,0,1788,Low,21,0,0,4,1,3,1,4,22,No
EMP0027,44,Male,Single,Sales,Sales Executive,3,Other,Travel_Rarely,No,3,3,3,0,7024,High,22,0,3,4,4,2,1,3,12,No
EMP0028,59,Male,Married,Sales,Manager,5,Life Sciences,Travel_Rarely,No,7,4,3,9,1375,Low,25,3,3,3,2,4,4,1,23,Yes
EMP0029,45,Male,Married,Research & Development,Research Scientist,4,Other,Travel_Rarely,Yes,3,3,1,8,1659,Low,21,3,5,3,4,3,2,4,6,No
EMP0030,33,Male,Married,Research & Development,Laboratory Technician,5,Marketing,Travel_Rarely,No,12,2,2,5,10591,High,22,2,2,3,1,2,3,4,21,No
EMP0031,32,Male,Single,Sales,Manager,5,Other,Non-Travel,No,9,4,6,5,1247,Low,21,2,4,3,1,2,3,4,16,No
EMP0032,20,Female,Divorced,Research & Development,Healthcare Representative,5,Technical Degree,Travel_Rarely,No,11,0,1,3,4958,Medium,21,2,6,3,1,3,4,4,26,No
EMP0033,54,Male,Married,Sales,Sales Executive,5,Other,Travel_Rarely,Yes,12,4,5,1,2985,Low,11,2,6,3,4,4,4,3,5,No
EMP0034,24,Male,Single,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,No,13,3,7,9,12000,Very High,18,0,1,4,4,3,4,4,9,Yes
EMP0035,38,Female,Single,Sales,Sales Executive,4,Life Sciences,Travel_Frequently,Yes,5,5,4,2,8612,High,22,2,3,4,4,1,2,3,14,Yes
EMP0036,26,Female,Married,Sales,Sales Executive,5,Life Sciences,Travel_Rarely,Yes,1,0,1,2,10876,High,23,2,6,3,2,1,1,4,8,Yes
EMP0037,56,Female,Married,Sales,Sales Executive,3,Marketing,Travel_Rarely,Yes,4,4,1,7,3157,Medium,19,0,0,3,3,4,1,4,14,No
EMP0038,35,Male,Single,Research & Development,Research Director,5,Other,Non-Travel,Yes,5,0,4,5,10223,High,21,3,3,4,3,2,4,2,12,No
EMP0039,21,Male,Single,Research & Development,Manufacturing Director,4,Marketing,Travel_Rarely,No,4,4,3,6,1206,Low,13,2,3,4,1,2,2,3,10,Yes
EMP0040,42,Female,Divorced,Research & Development,Research Scientist,2,Marketing,Travel_Rarely,No,11,5,0,8,2718,Low,17,3,1,4,2,2,3,2,20,Yes
EMP0041,31,Female,Divorced,Sales,Manager,5,Technical Degree,Travel_Frequently,No,1,1,1,0,2688,Low,23,0,1,3,4,3,4,2,20,No
EMP0042,26,Male,Married,Research & Development,Research Scientist,5,Medical,Travel_Rarely,No,13,6,3,1,4706,Medium,25,3,4,3,1,3,2,4,26,No
EMP0043,43,Female,Married,Research & Development,Manager,5,Marketing,Travel_Rarely,No,6,1,5,8,3544,Medium,15,0,6,3,2,4,4,3,21,No
EMP0044,19,Male,Married,Sales,Sales Executive,5,Medical,Travel_Rarely,Yes,3,3,3,4,5556,Medium,13,2,6,3,1,1,2,1,13,Yes
EMP0045,37,Female,Married,Research & Development,Healthcare Representative,1,Medical,Travel_Rarely,No,7,7,3,3,1531,Low,15,3,3,3,2,2,2,4,29,No
EMP0046,45,Female,Married,Human Resources,Manager,5,Life Sciences,Non-Travel,No,6,6,5,0,5962,Medium,20,2,3,3,2,1,4,3,19,No
EMP0047,24,Female,Divorced,Sales,Manager,4,Human Resources,Travel_Frequently,No,6,2,2,8,9574,High,17,1,2,4,3,3,1,2,15,No
EMP0048,25,Female,Married,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,Yes,8,7,1,8,3537,Medium,17,1,2,4,1,3,4,3,8,No
EMP0049,52,Female,Married,Research & Development,Research Director,1,Other,Travel_Frequently,No,0,0,0,3,9023,High,19,3,6,3,4,3,1,4,23,No
EMP0050,31,Male,Married,Research & Development,Healthcare Representative,5,Technical Degree,Non-Travel,No,9,4,1,8,1865,Low,18,0,5,4,3,1,1,3,21,No
EMP0051,34,Male,Divorced,Sales,Sales Representative,3,Technical Degree,Travel_Rarely,No,5,5,1,9,7071,High,14,3,5,3,3,4,3,2,10,No
EMP0052,53,Male,Divorced,Sales,Sales Executive,5,Human Resources,Travel_Rarely,Yes,5,4,5,0,5342,Medium,25,0,0,3,4,4,2,3,3,No
EMP0053,57,Male,Single,Research & Development,Healthcare Representative,4,Other,Travel_Frequently,No,5,2,0,4,2192,Low,15,1,6,3,2,3,4,3,21,No
EMP0054,21,Female,Married,Human Resources,Manager,2,Human Resources,Travel_Rarely,Yes,12,0,3,0,1826,Low,15,0,6,3,4,2,2,2,3,Yes
EMP0055,19,Male,Married,Research & Development,Research Director,2,Other,Travel_Rarely,Yes,11,0,1,3,3315,Medium,20,1,6,3,1,1,3,4,26,No
EMP0056,23,Male,Single,Research & Development,Research Scientist,3,Other,Travel_Rarely,No,5,1,5,4,6344,High,22,3,0,3,4,3,1,1,5,No
EMP0057,59,Male,Married,Research & Development,Manufacturing Director,5,Other,Travel_Rarely,Yes,11,4,7,2,3718,Medium,12,2,2,3,2,1,4,2,16,Yes
EMP0058,21,Female,Divorced,Research & Development,Laboratory Technician,1,Other,Travel_Rarely,Yes,9,2,4,1,1468,Low,22,2,5,3,4,1,2,2,17,No
EMP0059,46,Male,Married,Research & Development,Manager,5,Life Sciences,Travel_Rarely,Yes,6,4,2,5,10242,High,17,2,6,4,2,4,3,4,6,No
EMP0060,35,Male,Divorced,Sales,Manager,3,Life Sciences,Travel_Rarely,No,13,3,5,2,9369,High,17,0,0,3,2,3,1,4,26,No
EMP0061,43,Male,Single,Research & Development,Research Director,3,Human Resources,Travel_Rarely,No,9,4,5,9,3460,Medium,19,2,3,3,1,4,1,3,20,No
EMP0062,51,Female,Divorced,Research & Development,Research Scientist,3,Other,Travel_Frequently,No,5,4,0,0,5854,Medium,23,0,5,3,4,3,2,2,20,No
EMP0063,27,Male,Married,Research & Development,Research Director,2,Marketing,Travel_Frequently,No,0,0,0,4,1637,Low,19,2,1,3,4,1,1,3,16,No
EMP0064,53,Female,Married,Sales,Manager,5,Other,Non-Travel,Yes,2,2,2,1,4702,Medium,14,0,5,3,1,4,3,3,24,No
EMP0065,31,Male,Married,Sales,Sales Executive,5,Marketing,Non-Travel,No,1,1,1,1,5840,Medium,15,0,3,3,2,1,1,4,2,Yes
EMP0066,48,Male,Single,Sales,Sales Executive,1,Life Sciences,Travel_Rarely,No,5,5,2,3,18231,Very High,17,1,2,3,4,3,4,4,20,No
EMP0067,32,Female,Divorced,Research & Development,Laboratory Technician,3,Other,Travel_Rarely,Yes,7,7,6,3,4406,Medium,20,1,4,3,1,2,4,3,15,No
EMP0068,25,Male,Married,Human Resources,Human Resources,3,Medical,Non-Travel,No,2,2,2,3,5196,Medium,25,3,4,3,2,4,2,2,18,Yes
EMP0069,31,Male,Single,Sales,Sales Executive,4,Human Resources,Travel_Rarely,No,9,6,7,6,5815,Medium,17,1,2,3,1,4,3,2,1,No
EMP0070,40,Male,Married,Research & Development,Research Director,4,Other,Travel_Rarely,Yes,7,0,3,0,16918,Very High,21,0,3,3,4,1,1,3,26,No
EMP0071,57,Male,Married,Research & Development,Laboratory Technician,2,Technical Degree,Travel_Rarely,No,7,1,5,7,7294,High,20,1,0,4,1,1,1,1,29,Yes
EMP0072,38,Male,Single,Research & Development,Research Scientist,5,Marketing,Travel_Rarely,Yes,4,4,4,9,4814,Medium,21,1,5,3,3,2,1,1,29,No
EMP0073,33,Male,Single,Sales,Sales Executive,1,Other,Travel_Rarely,Yes,7,3,6,8,11638,High,18,1,5,3,2,4,4,4,19,No
EMP0074,35,Male,Married,Research & Development,Manager,1,Medical,Travel_Rarely,No,5,0,5,9,3973,Medium,18,0,0,4,3,3,3,2,12,No
EMP0075,41,Male,Married,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,No,4,4,4,5,3921,Medium,12,0,4,3,3,3,1,3,8,No
EMP0076,43,Female,Divorced,Sales,Sales Representative,1,Medical,Travel_Rarely,No,8,2,3,3,2127,Low,22,3,6,3,2,4,2,3,6,Yes
EMP0077,42,Female,Divorced,Sales,Sales Representative,3,Human Resources,Non-Travel,No,13,5,1,5,5777,Medium,19,1,6,4,2,4,3,2,12,Yes
EMP0078,58,Male,Married,Research & Development,Research Scientist,5,Human Resources,Travel_Rarely,Yes,6,4,6,9,1134,Low,21,1,2,3,1,4,3,4,7,Yes
EMP0079,46,Male,Married,Human Resources,Manager,1,Human Resources,Non-Travel,No,7,2,2,6,14760,Very High,14,0,6,3,2,2,1,4,18,No
EMP0080,32,Male,Married,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,No,0,0,0,5,2101,Low,11,3,2,4,3,3,4,1,22,No
EMP0081,18,Male,Married,Research & Development,Healthcare Representative,5,Medical,Non-Travel,No,10,3,4,0,19457,Very High,11,3,6,4,3,3,3,2,14,No
EMP0082,42,Male,Single,Research & Development,Healthcare Representative,5,Other,Travel_Rarely,No,1,1,1,4,4251,Medium,15,0,1,3,4,1,2,2,8,No
EMP0083,24,Male,Married,Research & Development,Laboratory Technician,3,Technical Degree,Travel_Rarely,No,7,6,2,7,4244,Medium,17,1,4,3,2,1,3,3,24,No
EMP0084,26,Male,Married,Human Resources,Human Resources,3,Technical Degree,Travel_Rarely,No,11,3,6,7,5793,Medium,15,3,2,3,3,4,4,2,20,Yes
EMP0085,41,Male,Single,Research & Development,Research Director,2,Human Resources,Non-Travel,No,8,4,0,9,2077,Low,25,3,1,3,4,1,2,1,22,No
EMP0086,18,Male,Married,Research & Development,Laboratory Technician,5,Technical Degree,Travel_Rarely,Yes,3,3,3,8,3398,Medium,23,1,0,3,4,2,4,2,14,Yes
EMP0087,25,Female,Divorced,Research & Development,Manufacturing Director,3,Marketing,Non-Travel,Yes,11,4,7,3,1390,Low,13,3,4,3,1,3,1,3,5,Yes
EMP0088,41,Male,Married,Research & Development,Research Director,5,Medical,Non-Travel,Yes,9,3,6,9,4963,Medium,21,1,4,3,3,3,3,1,9,No
EMP0089,28,Female,Married,Research & Development,Manager,1,Medical,Travel_Rarely,No,10,5,0,5,3474,Medium,17,3,2,4,1,1,2,3,8,No
EMP0090,34,Female,Divorced,Research & Development,Research Director,4,Medical,Travel_Rarely,No,9,7,5,6,10410,High,11,3,2,4,3,4,4,2,2,No
EMP0091,25,Male,Married,Sales,Sales Executive,4,Marketing,Non-Travel,No,13,1,4,4,1860,Low,21,0,3,4,1,1,1,4,28,No
EMP0092,52,Male,Single,Research & Development,Research Director,3,Other,Travel_Rarely,No,8,5,1,7,2168,Low,11,3,6,4,1,4,2,2,16,Yes
EMP0093,52,Male,Married,Research & Development,Manager,3,Life Sciences,Travel_Rarely,No,3,0,3,2,4147,Medium,22,1,0,3,2,2,3,2,13,No
EMP0094,50,Male,Married,Research & Development,Manager,5,Marketing,Travel_Rarely,No,9,7,7,7,12818,Very High,12,3,0,3,1,3,3,3,7,No
EMP0095,22,Male,Married,Research & Development,Research Scientist,3,Medical,Travel_Rarely,Yes,9,7,2,4,10789,High,11,0,5,3,2,2,4,4,16,Yes
EMP0096,59,Female,Single,Research & Development,Research Director,5,Medical,Travel_Rarely,Yes,9,7,2,0,5991,Medium,19,3,1,3,4,3,2,2,7,No
EMP0097,56,Male,Single,Sales,Sales Executive,3,Medical,Travel_Rarely,No,8,1,6,5,3620,Medium,14,2,1,3,3,2,1,1,27,No
EMP0098,58,Male,Divorced,Sales,Manager,5,Other,Travel_Rarely,No,10,6,6,1,2793,Low,17,1,3,3,4,1,1,1,14,Yes
EMP0099,45,Female,Married,Sales,Manager,3,Technical Degree,Travel_Rarely,No,6,3,3,6,15387,Very High,15,2,5,4,3,2,1,3,14,No
EMP0100,24,Female,Divorced,Sales,Sales Executive,2,Life Sciences,Travel_Rarely,Yes,1,1,1,8,6918,High,24,0,0,3,4,2,4,3,12,No
EMP0101,26,Male,Married,Research & Development,Research Scientist,5,Marketing,Travel_Frequently,Yes,8,2,7,2,1534,Low,17,2,6,3,3,1,1,4,1,No
EMP0102,25,Female,Divorced,Research & Development,Research Scientist,2,Medical,Travel_Rarely,No,3,0,3,9,4500,Medium,23,3,6,3,1,3,2,3,1,No
EMP0103,29,Male,Single,Sales,Sales Representative,2,Human Resources,Travel_Rarely,Yes,7,7,7,3,2075,Low,23,1,6,3,3,3,4,4,12,Yes
EMP0104,51,Male,Married,Research & Development,Manager,2,Life Sciences,Travel_Frequently,Yes,13,2,7,3,14588,Very High,25,2,6,3,3,1,3,2,20,Yes
EMP0105,50,Male,Single,Sales,Sales Representative,2,Human Resources,Travel_Rarely,No,6,6,4,3,1760,Low,17,3,1,3,4,2,4,1,21,Yes
EMP0106,40,Male,Married,Research & Development,Healthcare Representative,1,Life Sciences,Travel_Rarely,Yes,12,5,6,2,3217,Medium,11,2,0,3,4,2,4,1,15,No
EMP0107,41,Female,Married,Human Resources,Manager,4,Medical,Travel_Frequently,No,14,6,0,4,1035,Low,11,3,6,3,4,2,4,1,4,No
EMP0108,54,Male,Married,Sales,Manager,1,Life Sciences,Non-Travel,No,6,1,4,8,10554,High,21,3,0,3,2,4,2,3,7,No
EMP0109,52,Male,Divorced,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Rarely,Yes,7,6,2,7,6819,High,13,2,5,3,2,3,3,3,16,Yes
EMP0110,57,Male,Divorced,Sales,Sales Representative,3,Medical,Travel_Rarely,No,0,0,0,9,11292,High,20,0,1,4,3,2,3,2,3,Yes
EMP0111,39,Male,Single,Research & Development,Manager,4,Other,Travel_Frequently,No,4,4,3,1,4624,Medium,12,1,2,3,3,3,4,3,7,No
EMP0112,44,Male,Married,Research & Development,Healthcare Representative,4,Human Resources,Travel_Rarely,No,1,1,1,8,10956,High,24,0,2,4,1,2,4,4,29,No
EMP0113,52,Male,Married,Sales,Sales Executive,4,Other,Travel_Rarely,No,1,1,1,9,2336,Low,17,2,5,3,1,1,4,1,24,Yes
EMP0114,18,Female,Married,Research & Development,Manager,2,Human Resources,Travel_Frequently,Yes,14,3,2,1,1075,Low,13,3,1,3,3,1,2,2,22,Yes
EMP0115,52,Male,Divorced,Sales,Sales Representative,1,Technical Degree,Travel_Rarely,No,0,0,0,6,2313,Low,17,2,3,3,2,3,2,4,6,No
EMP0116,54,Male,Single,Sales,Sales Representative,3,Human Resources,Non-Travel,Yes,4,4,4,4,15736,Very High,19,3,4,3,3,3,1,4,16,Yes
EMP0117,31,Male,Divorced,Research & Development,Research Scientist,1,Human Resources,Non-Travel,No,1,0,1,6,4260,Medium,22,3,5,3,1,1,3,3,24,No
EMP0118,20,Male,Single,Research & Development,Research Director,1,Life Sciences,Travel_Rarely,No,3,2,3,4,11191,High,21,0,0,3,2,4,1,3,8,No
EMP0119,18,Male,Married,Research & Development,Manager,1,Technical Degree,Travel_Rarely,No,2,1,2,5,8981,High,11,0,5,4,2,1,1,1,23,No
EMP0120,22,Female,Married,Research & Development,Laboratory Technician,4,Medical,Travel_Rarely,No,2,2,1,7,2424,Low,25,2,4,3,1,2,4,2,22,No
EMP0121,43,Female,Single,Human Resources,Human Resources,4,Medical,Travel_Rarely,Yes,1,1,1,0,1239,Low,13,1,5,3,3,4,2,4,6,Yes
EMP0122,31,Male,Married,Sales,Sales Executive,3,Marketing,Travel_Frequently,Yes,12,1,6,0,1359,Low,23,0,1,3,4,1,1,3,10,Yes
EMP0123,56,Male,Divorced,Research & Development,Manufacturing Director,3,Technical Degree,Travel_Rarely,No,5,5,5,4,4065,Medium,21,3,0,3,3,4,1,3,16,No
EMP0124,44,Female,Married,Research & Development,Manager,3,Life Sciences,Travel_Rarely,No,1,1,1,0,2603,Low,25,2,4,3,3,4,1,2,11,No
EMP0125,26,Male,Married,Research & Development,Research Scientist,1,Marketing,Travel_Frequently,No,13,2,7,2,2561,Low,25,2,6,3,1,4,4,2,13,No
EMP0126,32,Male,Married,Human Resources,Manager,4,Marketing,Travel_Rarely,Yes,13,7,0,9,7432,High,16,1,2,3,2,3,4,3,29,Yes
EMP0127,32,Male,Single,Research & Development,Manager,2,Medical,Travel_Rarely,No,7,6,4,8,19338,Very High,25,2,3,3,1,1,2,3,6,Yes
EMP0128,43,Female,Single,Research & Development,Research Director,1,Human Resources,Travel_Rarely,Yes,7,6,1,6,2996,Low,23,0,5,3,3,3,1,1,24,Yes
EMP0129,59,Male,Married,Research & Development,Healthcare Representative,5,Life Sciences,Travel_Rarely,No,12,6,1,5,2164,Low,19,3,5,3,4,3,1,2,1,No
EMP0130,30,Female,Single,Human Resources,Human Resources,1,Technical Degree,Travel_Rarely,No,13,5,3,7,1365,Low,15,2,4,3,4,2,2,4,21,No
EMP0131,49,Female,Divorced,Research & Development,Research Scientist,4,Marketing,Non-Travel,No,11,4,4,7,7358,High,13,2,3,3,4,2,2,3,19,No
EMP0132,56,Male,Married,Research & Development,Research Director,5,Life Sciences,Travel_Rarely,Yes,4,1,1,5,9701,High,18,3,5,3,1,4,2,3,12,No
EMP0133,49,Female,Divorced,Research & Development,Laboratory Technician,1,Medical,Non-Travel,No,9,6,3,3,2337,Low,23,2,2,3,2,4,3,3,24,No
EMP0134,21,Female,Married,Sales,Sales Representative,4,Marketing,Travel_Rarely,No,6,1,0,3,2038,Low,24,2,4,3,1,2,2,3,27,No
EMP0135,47,Male,Divorced,Sales,Sales Representative,4,Marketing,Travel_Rarely,No,3,3,3,3,9532,High,22,1,1,3,4,2,4,1,6,No
EMP0136,54,Male,Married,Research & Development,Research Scientist,2,Other,Travel_Rarely,No,0,0,0,5,3027,Medium,15,0,0,3,3,1,3,2,18,No
EMP0137,40,Male,Married,Sales,Manager,1,Medical,Travel_Frequently,No,10,5,0,0,2832,Low,25,2,2,3,2,4,2,3,13,No
EMP0138,56,Male,Divorced,Research & Development,Research Director,4,Other,Travel_Rarely,No,1,1,1,1,5164,Medium,16,0,3,3,1,4,4,2,7,Yes
EMP0139,32,Male,Married,Sales,Manager,3,Medical,Travel_Frequently,No,9,4,5,5,1346,Low,23,1,3,3,1,2,2,4,23,No
EMP0140,46,Male,Single,Research & Development,Research Scientist,4,Medical,Travel_Rarely,Yes,9,5,7,0,5704,Medium,12,0,2,3,2,1,2,4,13,No
EMP0141,53,Male,Married,Research & Development,Research Director,2,Other,Travel_Rarely,No,3,3,3,8,6825,High,14,1,6,3,2,2,3,4,21,No
EMP0142,30,Female,Divorced,Human Resources,Manager,4,Life Sciences,Travel_Rarely,No,0,0,0,5,7191,High,11,0,1,3,3,2,4,4,8,No
EMP0143,49,Male,Divorced,Sales,Manager,1,Life Sciences,Travel_Rarely,Yes,14,5,2,6,5673,Medium,25,0,5,3,2,3,1,2,21,No
EMP0144,24,Male,Married,Research & Development,Manager,1,Life Sciences,Travel_Rarely,No,12,1,6,0,16456,Very High,24,2,1,3,3,4,2,4,17,No
EMP0145,39,Male,Married,Research & Development,Healthcare Representative,5,Human Resources,Travel_Frequently,No,7,5,3,7,3196,Medium,23,0,5,3,4,1,3,4,9,Yes
EMP0146,45,Male,Divorced,Sales,Sales Representative,1,Marketing,Travel_Rarely,No,8,1,6,4,10193,High,14,2,5,3,4,3,4,3,20,No
EMP0147,19,Male,Single,Research & Development,Manufacturing Director,5,Life Sciences,Non-Travel,No,3,1,2,4,5731,Medium,11,2,3,3,1,4,2,3,13,No
EMP0148,59,Male,Married,Research & Development,Manager,3,Human Resources,Travel_Rarely,No,9,6,7,5,11641,High,14,0,5,3,4,2,1,3,2,No
EMP0149,23,Male,Single,Research & Development,Research Scientist,2,Marketing,Travel_Rarely,No,2,2,2,6,17219,Very High,24,2,2,3,4,1,4,1,4,No
EMP0150,45,Female,Married,Human Resources,Manager,3,Life Sciences,Non-Travel,Yes,1,0,1,6,1932,Low,12,0,6,3,3,4,4,3,29,No
EMP0151,45,Female,Married,Sales,Sales Executive,5,Medical,Travel_Rarely,No,4,1,1,4,12983,Very High,16,3,5,3,1,2,3,4,25,Yes
EMP0152,37,Male,Single,Research & Development,Manager,4,Technical Degree,Travel_Rarely,Yes,13,6,7,0,7207,High,16,2,2,3,2,3,2,2,2,Yes
EMP0153,47,Female,Single,Research & Development,Healthcare Representative,4,Life Sciences,Travel_Rarely,No,2,0,2,8,6416,High,18,3,0,3,1,1,2,4,4,No
EMP0154,28,Female,Married,Sales,Sales Executive,3,Technical Degree,Travel_Frequently,No,9,0,6,5,2959,Low,19,3,3,3,4,4,4,2,18,No
EMP0155,45,Male,Single,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,No,6,5,3,8,7237,High,18,2,1,3,2,3,2,4,5,No
EMP0156,42,Female,Single,Human Resources,Human Resources,5,Medical,Travel_Rarely,Yes,10,3,6,3,10943,High,11,1,4,3,1,2,4,1,19,No
EMP0157,56,Female,Divorced,Sales,Sales Representative,2,Technical Degree,Travel_Rarely,No,5,5,5,1,2124,Low,23,1,1,4,1,2,1,3,10,No
EMP0158,50,Male,Married,Research & Development,Research Director,1,Human Resources,Travel_Rarely,No,0,0,0,2,18419,Very High,13,3,1,3,1,4,3,4,18,No
EMP0159,18,Male,Married,Research & Development,Research Scientist,5,Medical,Travel_Rarely,Yes,11,1,6,3,2968,Low,16,3,6,3,1,2,2,3,25,Yes
EMP0160,44,Male,Divorced,Research & Development,Manager,5,Technical Degree,Travel_Rarely,Yes,7,2,2,9,1588,Low,11,0,4,3,3,1,2,1,21,No
EMP0161,30,Male,Single,Research & Development,Research Director,1,Technical Degree,Non-Travel,Yes,1,1,1,7,5642,Medium,18,3,6,3,1,4,3,1,10,Yes
EMP0162,58,Female,Married,Sales,Manager,1,Other,Non-Travel,No,4,4,2,2,4561,Medium,24,2,3,3,4,3,1,3,5,No
EMP0163,20,Male,Married,Human Resources,Human Resources,2,Other,Travel_Rarely,Yes,8,5,3,7,5960,Medium,16,1,5,3,4,4,1,3,17,No
EMP0164,56,Female,Married,Human Resources,Manager,2,Medical,Travel_Rarely,No,7,6,4,5,1084,Low,11,1,0,3,3,4,1,2,22,No
EMP0165,23,Female,Divorced,Research & Development,Healthcare Representative,2,Medical,Travel_Rarely,No,1,1,0,3,18403,Very High,20,1,1,4,2,3,1,3,13,No
EMP0166,25,Female,Divorced,Research & Development,Research Director,4,Medical,Travel_Rarely,No,8,3,2,6,1235,Low,12,2,6,3,2,2,1,3,23,Yes
EMP0167,44,Female,Married,Research & Development,Manufacturing Director,5,Marketing,Non-Travel,Yes,4,2,4,4,2395,Low,16,0,5,3,4,3,4,2,17,Yes
EMP0168,26,Male,Single,Research & Development,Research Scientist,1,Human Resources,Travel_Rarely,No,9,4,6,4,1967,Low,20,2,1,3,4,1,2,4,9,Yes
EMP0169,54,Male,Single,Research & Development,Manufacturing Director,5,Life Sciences,Travel_Frequently,No,13,1,1,8,5966,Medium,24,2,3,3,3,2,2,2,24,No
EMP0170,50,Female,Married,Research & Development,Research Scientist,5,Other,Non-Travel,No,5,5,5,2,16637,Very High,18,1,3,3,2,4,2,4,12,No
